연령별,기준년도,법규위반내용,사고건수
41~50세,2021,기타,1005
41~50세,2021,정비불량,1
41~50세,2022,앞지르기방법위반,23
41~50세,2022,앞지르기금지위반,49
41~50세,2022,중앙선침범,1188
41~50세,2022,신호위반,3733
41~50세,2022,안전거리미확보,3475
41~50세,2022,일시정지위반,132
41~50세,2022,부당한회전,218
41~50세,2022,우선권양보불이행,2
41~50세,2022,진로양보불이행,9
41~50세,2022,안전운전의무불이행,19364
41~50세,2022,교차로운행방법위반,2058
41~50세,2022,보행자보호의무위반,1376
41~50세,2022,차로위반(진로변경),455
41~50세,2022,직진우회전진행방해,951
41~50세,2022,기타,876
41~50세,2022,정비불량,6
51~60세,2018,과속,181
51~60세,2018,앞지르기방법위반,17
51~60세,2018,앞지르기금지위반,83
51~60세,2018,중앙선침범,2272
51~60세,2018,신호위반,5831
51~60세,2018,안전거리미확보,5261
51~60세,2018,일시정지위반,127
51~60세,2018,부당한회전,368
51~60세,2018,우선권양보불이행,3
51~60세,2018,진로양보불이행,19
51~60세,2018,안전운전의무불이행,29619
51~60세,2018,교차로운행방법위반,3628
51~60세,2018,보행자보호의무위반,2029
51~60세,2018,차로위반(진로변경),1110
51~60세,2018,직진우회전진행방해,1552
51~60세,2018,기타,1527
51~60세,2018,정비불량,4
51~60세,2019,과로,1
51~60세,2019,과속,184
51~60세,2019,앞지르기방법위반,22
51~60세,2019,앞지르기금지위반,98
51~60세,2019,중앙선침범,2175
51~60세,2019,신호위반,6625
51~60세,2019,안전거리미확보,5698
51~60세,2019,일시정지위반,142
51~60세,2019,부당한회전,399
51~60세,2019,우선권양보불이행,8
51~60세,2019,진로양보불이행,12
51~60세,2019,안전운전의무불이행,30000
51~60세,2019,교차로운행방법위반,3957
51~60세,2019,보행자보호의무위반,2000
51~60세,2019,차로위반(진로변경),1137
51~60세,2019,직진우회전진행방해,1717
51~60세,2019,철길건널목통과방법,3
51~60세,2019,긴급차피양의무위반,1
51~60세,2019,기타,1635
51~60세,2020,과속,211
51~60세,2020,앞지르기방법위반,27
51~60세,2020,앞지르기금지위반,92
51~60세,2020,중앙선침범,1961
51~60세,2020,신호위반,5595
51~60세,2020,안전거리미확보,5351
51~60세,2020,일시정지위반,153
51~60세,2020,부당한회전,337
51~60세,2020,우선권양보불이행,2
51~60세,2020,진로양보불이행,12
51~60세,2020,안전운전의무불이행,27664
51~60세,2020,교차로운행방법위반,3613
51~60세,2020,보행자보호의무위반,1563
51~60세,2020,차로위반(진로변경),1044
51~60세,2020,직진우회전진행방해,1477
51~60세,2020,기타,1317
51~60세,2020,정비불량,2
51~60세,2021,앞지르기방법위반,24
51~60세,2021,앞지르기금지위반,90
51~60세,2021,중앙선침범,1907
51~60세,2021,신호위반,5365
51~60세,2021,안전거리미확보,4949
51~60세,2021,일시정지위반,169
51~60세,2021,부당한회전,344
51~60세,2021,우선권양보불이행,1
51~60세,2021,진로양보불이행,7
51~60세,2021,안전운전의무불이행,25686
51~60세,2021,교차로운행방법위반,2992
51~60세,2021,보행자보호의무위반,1583
51~60세,2021,차로위반(진로변경),842
51~60세,2021,직진우회전진행방해,1513
51~60세,2021,철길건널목통과방법,1
51~60세,2021,기타,1461
51~60세,2021,정비불량,4
51~60세,2022,과로,2
51~60세,2022,앞지르기방법위반,22
51~60세,2022,앞지르기금지위반,67
51~60세,2022,중앙선침범,1742
51~60세,2022,신호위반,4892
51~60세,2022,안전거리미확보,4610
51~60세,2022,일시정지위반,168
51~60세,2022,부당한회전,346
51~60세,2022,진로양보불이행,7
51~60세,2022,안전운전의무불이행,25123
51~60세,2022,교차로운행방법위반,2741
51~60세,2022,보행자보호의무위반,1665
51~60세,2022,차로위반(진로변경),689
51~60세,2022,직진우회전진행방해,1169
51~60세,2022,기타,1336
51~60세,2022,정비불량,2
61~64세,2018,과속,41
61~64세,2018,앞지르기방법위반,7
61~64세,2018,앞지르기금지위반,24
61~64세,2018,중앙선침범,781
61~64세,2018,신호위반,2078
61~64세,2018,안전거리미확보,1838
61~64세,2018,일시정지위반,28
61~64세,2018,부당한회전,142
61~64세,2018,우선권양보불이행,2
61~64세,2018,진로양보불이행,8
61~64세,2018,안전운전의무불이행,9800
61~64세,2018,교차로운행방법위반,1205
61~64세,2018,보행자보호의무위반,691
61~64세,2018,차로위반(진로변경),452
61~64세,2018,직진우회전진행방해,497
61~64세,2018,철길건널목통과방법,1
61~64세,2018,기타,499
61~64세,2018,정비불량,1
61~64세,2019,과속,63
61~64세,2019,앞지르기방법위반,7
61~64세,2019,앞지르기금지위반,38
61~64세,2019,중앙선침범,816
61~64세,2019,신호위반,2414
61~64세,2019,안전거리미확보,2013
61~64세,2019,일시정지위반,54
61~64세,2019,부당한회전,157
61~64세,2019,우선권양보불이행,3
61~64세,2019,진로양보불이행,9
61~64세,2019,안전운전의무불이행,10473
61~64세,2019,교차로운행방법위반,1408
61~64세,2019,보행자보호의무위반,736
61~64세,2019,차로위반(진로변경),448
61~64세,2019,직진우회전진행방해,664
61~64세,2019,기타,542
61~64세,2019,정비불량,2
61~64세,2020,과속,49
61~64세,2020,앞지르기방법위반,6
61~64세,2020,앞지르기금지위반,28
61~64세,2020,중앙선침범,778
61~64세,2020,신호위반,2104
61~64세,2020,안전거리미확보,1978
61~64세,2020,일시정지위반,41
61~64세,2020,부당한회전,153
61~64세,2020,진로양보불이행,4
61~64세,2020,안전운전의무불이행,9722
61~64세,2020,교차로운행방법위반,1287
61~64세,2020,보행자보호의무위반,583
61~64세,2020,차로위반(진로변경),368
61~64세,2020,직진우회전진행방해,606
61~64세,2020,철길건널목통과방법,1
61~64세,2020,기타,467
61~64세,2021,과로,1
61~64세,2021,앞지르기방법위반,12
61~64세,2021,앞지르기금지위반,43
61~64세,2021,중앙선침범,823
61~64세,2021,신호위반,2100
61~64세,2021,안전거리미확보,2096
61~64세,2021,일시정지위반,48
61~64세,2021,부당한회전,156
61~64세,2021,우선권양보불이행,2
61~64세,2021,진로양보불이행,7
61~64세,2021,안전운전의무불이행,10027
61~64세,2021,교차로운행방법위반,1192
61~64세,2021,보행자보호의무위반,604
61~64세,2021,차로위반(진로변경),333
61~64세,2021,직진우회전진행방해,587
61~64세,2021,기타,545
61~64세,2021,정비불량,2
61~64세,2022,앞지르기방법위반,6
61~64세,2022,앞지르기금지위반,30
61~64세,2022,중앙선침범,729
61~64세,2022,신호위반,2144
61~64세,2022,안전거리미확보,2082
61~64세,2022,일시정지위반,57
61~64세,2022,부당한회전,158
61~64세,2022,우선권양보불이행,1
61~64세,2022,진로양보불이행,3
61~64세,2022,안전운전의무불이행,10610
61~64세,2022,교차로운행방법위반,1175
61~64세,2022,보행자보호의무위반,733
61~64세,2022,차로위반(진로변경),286
61~64세,2022,직진우회전진행방해,534
61~64세,2022,기타,610
61~64세,2022,정비불량,2
65세이상,2018,과로,1
65세이상,2018,과속,61
65세이상,2018,앞지르기방법위반,14
65세이상,2018,앞지르기금지위반,45
65세이상,2018,중앙선침범,1582
65세이상,2018,신호위반,3590
65세이상,2018,안전거리미확보,2865
65세이상,2018,일시정지위반,57
65세이상,2018,부당한회전,246
65세이상,2018,우선권양보불이행,5
65세이상,2018,진로양보불이행,4
65세이상,2018,안전운전의무불이행,16081
65세이상,2018,교차로운행방법위반,2063
65세이상,2018,보행자보호의무위반,1029
65세이상,2018,차로위반(진로변경),658
65세이상,2018,직진우회전진행방해,997
65세이상,2018,철길건널목통과방법,2
65세이상,2018,기타,711
65세이상,2018,정비불량,1
65세이상,2019,과속,83
65세이상,2019,앞지르기방법위반,13
65세이상,2019,앞지르기금지위반,71
